metric,percentile,value_us
ttft_from_intended,50,14087
ttft_from_intended,75,14407
ttft_from_intended,90,14631
ttft_from_intended,95,14783
ttft_from_intended,99,16247
ttft_from_intended,99.9,18335
ttft_from_intended,99.99,18335
ttft_from_dispatch,50,14087
ttft_from_dispatch,75,14407
ttft_from_dispatch,90,14631
ttft_from_dispatch,95,14783
ttft_from_dispatch,99,16247
ttft_from_dispatch,99.9,18335
ttft_from_dispatch,99.99,18335
e2e_from_intended,50,43519
e2e_from_intended,75,44351
e2e_from_intended,90,45247
e2e_from_intended,95,45791
e2e_from_intended,99,46527
e2e_from_intended,99.9,49087
e2e_from_intended,99.99,49919
e2e_from_dispatch,50,43519
e2e_from_dispatch,75,44351
e2e_from_dispatch,90,45247
e2e_from_dispatch,95,45791
e2e_from_dispatch,99,46527
e2e_from_dispatch,99.9,49087
e2e_from_dispatch,99.99,49919
dispatch_lag,50,1
dispatch_lag,75,1
dispatch_lag,90,1
dispatch_lag,95,1
dispatch_lag,99,1
dispatch_lag,99.9,1
dispatch_lag,99.99,1
