metric,percentile,value_us
ttft_from_intended,50,16815
ttft_from_intended,75,40639
ttft_from_intended,90,66495
ttft_from_intended,95,78847
ttft_from_intended,99,109887
ttft_from_intended,99.9,161407
ttft_from_intended,99.99,161407
ttft_from_dispatch,50,15127
ttft_from_dispatch,75,39295
ttft_from_dispatch,90,64831
ttft_from_dispatch,95,77503
ttft_from_dispatch,99,109055
ttft_from_dispatch,99.9,159231
ttft_from_dispatch,99.99,159231
e2e_from_intended,50,44511
e2e_from_intended,75,67711
e2e_from_intended,90,92607
e2e_from_intended,95,104575
e2e_from_intended,99,135551
e2e_from_intended,99.9,189951
e2e_from_intended,99.99,189951
e2e_from_dispatch,50,42783
e2e_from_dispatch,75,65983
e2e_from_dispatch,90,91135
e2e_from_dispatch,95,103359
e2e_from_dispatch,99,134527
e2e_from_dispatch,99.9,187775
e2e_from_dispatch,99.99,187775
dispatch_lag,50,1457
dispatch_lag,75,1787
dispatch_lag,90,2189
dispatch_lag,95,2381
dispatch_lag,99,2979
dispatch_lag,99.9,15343
dispatch_lag,99.99,17471
