metric,percentile,value_us
ttft_from_intended,50,3443
ttft_from_intended,75,3969
ttft_from_intended,90,4503
ttft_from_intended,95,5023
ttft_from_intended,99,9247
ttft_from_intended,99.9,19247
ttft_from_intended,99.99,19615
ttft_from_dispatch,50,1711
ttft_from_dispatch,75,1905
ttft_from_dispatch,90,2183
ttft_from_dispatch,95,2603
ttft_from_dispatch,99,5735
ttft_from_dispatch,99.9,12119
ttft_from_dispatch,99.99,13343
e2e_from_intended,50,4579
e2e_from_intended,75,5195
e2e_from_intended,90,5867
e2e_from_intended,95,6707
e2e_from_intended,99,10575
e2e_from_intended,99.9,20767
e2e_from_intended,99.99,21151
e2e_from_dispatch,50,2907
e2e_from_dispatch,75,3181
e2e_from_dispatch,90,3565
e2e_from_dispatch,95,4187
e2e_from_dispatch,99,7499
e2e_from_dispatch,99.9,13799
e2e_from_dispatch,99.99,14879
dispatch_lag,50,1724
dispatch_lag,75,2141
dispatch_lag,90,2497
dispatch_lag,95,2737
dispatch_lag,99,4947
dispatch_lag,99.9,11791
dispatch_lag,99.99,16863
