metric,percentile,value_us
ttft_from_intended,50,3643
ttft_from_intended,75,4183
ttft_from_intended,90,4615
ttft_from_intended,95,4939
ttft_from_intended,99,5667
ttft_from_intended,99.9,11687
ttft_from_intended,99.99,14047
ttft_from_dispatch,50,1967
ttft_from_dispatch,75,2169
ttft_from_dispatch,90,2391
ttft_from_dispatch,95,2623
ttft_from_dispatch,99,3333
ttft_from_dispatch,99.9,9591
ttft_from_dispatch,99.99,12775
e2e_from_intended,50,4871
e2e_from_intended,75,5471
e2e_from_intended,90,5991
e2e_from_intended,95,6343
e2e_from_intended,99,7199
e2e_from_intended,99.9,13191
e2e_from_intended,99.99,15535
e2e_from_dispatch,50,3259
e2e_from_dispatch,75,3525
e2e_from_dispatch,90,3815
e2e_from_dispatch,95,4079
e2e_from_dispatch,99,4979
e2e_from_dispatch,99.9,11095
e2e_from_dispatch,99.99,14255
dispatch_lag,50,1715
dispatch_lag,75,2113
dispatch_lag,90,2477
dispatch_lag,95,2651
dispatch_lag,99,2911
dispatch_lag,99.9,4123
dispatch_lag,99.99,6835
