metric,percentile,value_us
ttft_from_intended,50,4319
ttft_from_intended,75,5087
ttft_from_intended,90,5955
ttft_from_intended,95,6811
ttft_from_intended,99,11127
ttft_from_intended,99.9,29871
ttft_from_intended,99.99,30367
ttft_from_dispatch,50,2607
ttft_from_dispatch,75,3185
ttft_from_dispatch,90,3957
ttft_from_dispatch,95,4707
ttft_from_dispatch,99,7815
ttft_from_dispatch,99.9,20015
ttft_from_dispatch,99.99,25791
e2e_from_intended,50,5451
e2e_from_intended,75,6295
e2e_from_intended,90,7235
e2e_from_intended,95,8083
e2e_from_intended,99,13391
e2e_from_intended,99.9,30783
e2e_from_intended,99.99,32095
e2e_from_dispatch,50,3747
e2e_from_dispatch,75,4435
e2e_from_dispatch,90,5267
e2e_from_dispatch,95,6175
e2e_from_dispatch,99,9567
e2e_from_dispatch,99.9,21311
e2e_from_dispatch,99.99,27519
dispatch_lag,50,1686
dispatch_lag,75,2105
dispatch_lag,90,2445
dispatch_lag,95,2695
dispatch_lag,99,4575
dispatch_lag,99.9,9239
dispatch_lag,99.99,10671
