metric,percentile,value_us
ttft_from_intended,50,5547
ttft_from_intended,75,6495
ttft_from_intended,90,7327
ttft_from_intended,95,7991
ttft_from_intended,99,10791
ttft_from_intended,99.9,41151
ttft_from_intended,99.99,44831
ttft_from_dispatch,50,3909
ttft_from_dispatch,75,4571
ttft_from_dispatch,90,5335
ttft_from_dispatch,95,5867
ttft_from_dispatch,99,8439
ttft_from_dispatch,99.9,39103
ttft_from_dispatch,99.99,39935
e2e_from_intended,50,6775
e2e_from_intended,75,7751
e2e_from_intended,90,8695
e2e_from_intended,95,9415
e2e_from_intended,99,11695
e2e_from_intended,99.9,42399
e2e_from_intended,99.99,47391
e2e_from_dispatch,50,5139
e2e_from_dispatch,75,5843
e2e_from_dispatch,90,6739
e2e_from_dispatch,95,7243
e2e_from_dispatch,99,9719
e2e_from_dispatch,99.9,39359
e2e_from_dispatch,99.99,41183
dispatch_lag,50,1664
dispatch_lag,75,2075
dispatch_lag,90,2411
dispatch_lag,95,2609
dispatch_lag,99,2941
dispatch_lag,99.9,23647
dispatch_lag,99.99,31567
