metric,percentile,value_us
ttft_from_intended,50,4739
ttft_from_intended,75,5443
ttft_from_intended,90,6391
ttft_from_intended,95,6859
ttft_from_intended,99,8003
ttft_from_intended,99.9,12647
ttft_from_intended,99.99,14487
ttft_from_dispatch,50,3069
ttft_from_dispatch,75,3629
ttft_from_dispatch,90,4299
ttft_from_dispatch,95,4759
ttft_from_dispatch,99,5975
ttft_from_dispatch,99.9,8479
ttft_from_dispatch,99.99,13551
e2e_from_intended,50,5959
e2e_from_intended,75,6743
e2e_from_intended,90,7747
e2e_from_intended,95,8223
e2e_from_intended,99,9631
e2e_from_intended,99.9,14047
e2e_from_intended,99.99,16511
e2e_from_dispatch,50,4311
e2e_from_dispatch,75,4935
e2e_from_dispatch,90,5603
e2e_from_dispatch,95,6091
e2e_from_dispatch,99,7447
e2e_from_dispatch,99.9,9823
e2e_from_dispatch,99.99,15583
dispatch_lag,50,1642
dispatch_lag,75,2073
dispatch_lag,90,2419
dispatch_lag,95,2677
dispatch_lag,99,2951
dispatch_lag,99.9,6815
dispatch_lag,99.99,9023
