metric,percentile,value_us
ttft_from_intended,50,14343
ttft_from_intended,75,16495
ttft_from_intended,90,27199
ttft_from_intended,95,39519
ttft_from_intended,99,46143
ttft_from_intended,99.9,55391
ttft_from_intended,99.99,61503
ttft_from_dispatch,50,12823
ttft_from_dispatch,75,14791
ttft_from_dispatch,90,25727
ttft_from_dispatch,95,38591
ttft_from_dispatch,99,44415
ttft_from_dispatch,99.9,50079
ttft_from_dispatch,99.99,60351
e2e_from_intended,50,23663
e2e_from_intended,75,26047
e2e_from_intended,90,36959
e2e_from_intended,95,49343
e2e_from_intended,99,56319
e2e_from_intended,99.9,64351
e2e_from_intended,99.99,71103
e2e_from_dispatch,50,22191
e2e_from_dispatch,75,24303
e2e_from_dispatch,90,35935
e2e_from_dispatch,95,48351
e2e_from_dispatch,99,54687
e2e_from_dispatch,99.9,62431
e2e_from_dispatch,99.99,69951
dispatch_lag,50,1342
dispatch_lag,75,1808
dispatch_lag,90,2253
dispatch_lag,95,2535
dispatch_lag,99,6867
dispatch_lag,99.9,12767
dispatch_lag,99.99,29615
