metric,percentile,value_us
ttft_from_intended,50,12199
ttft_from_intended,75,13343
ttft_from_intended,90,26911
ttft_from_intended,95,40991
ttft_from_intended,99,44031
ttft_from_intended,99.9,45855
ttft_from_intended,99.99,48159
ttft_from_dispatch,50,10887
ttft_from_dispatch,75,11775
ttft_from_dispatch,90,25727
ttft_from_dispatch,95,39743
ttft_from_dispatch,99,42495
ttft_from_dispatch,99.9,44191
ttft_from_dispatch,99.99,45695
e2e_from_intended,50,21279
e2e_from_intended,75,22543
e2e_from_intended,90,36255
e2e_from_intended,95,49471
e2e_from_intended,99,52799
e2e_from_intended,99.9,55199
e2e_from_intended,99.99,55455
e2e_from_dispatch,50,19935
e2e_from_dispatch,75,21023
e2e_from_dispatch,90,34783
e2e_from_dispatch,95,47871
e2e_from_dispatch,99,51391
e2e_from_dispatch,99.9,53215
e2e_from_dispatch,99.99,53727
dispatch_lag,50,1268
dispatch_lag,75,1695
dispatch_lag,90,2085
dispatch_lag,95,2371
dispatch_lag,99,2735
dispatch_lag,99.9,8647
dispatch_lag,99.99,19055
