metric,percentile,value_us
ttft_from_intended,50,40959
ttft_from_intended,75,42079
ttft_from_intended,90,42911
ttft_from_intended,95,43391
ttft_from_intended,99,44639
ttft_from_intended,99.9,47903
ttft_from_intended,99.99,49503
ttft_from_dispatch,50,39871
ttft_from_dispatch,75,40735
ttft_from_dispatch,90,41279
ttft_from_dispatch,95,41631
ttft_from_dispatch,99,42559
ttft_from_dispatch,99.9,44511
ttft_from_dispatch,99.99,47135
e2e_from_intended,50,49823
e2e_from_intended,75,51231
e2e_from_intended,90,52095
e2e_from_intended,95,52607
e2e_from_intended,99,54111
e2e_from_intended,99.9,56863
e2e_from_intended,99.99,57695
e2e_from_dispatch,50,48671
e2e_from_dispatch,75,49855
e2e_from_dispatch,90,50591
e2e_from_dispatch,95,50975
e2e_from_dispatch,99,52031
e2e_from_dispatch,99.9,54783
e2e_from_dispatch,99.99,55647
dispatch_lag,50,1309
dispatch_lag,75,1742
dispatch_lag,90,2111
dispatch_lag,95,2351
dispatch_lag,99,2765
dispatch_lag,99.9,3139
dispatch_lag,99.99,8935
