metric,percentile,value_us
ttft_from_intended,50,13719
ttft_from_intended,75,42079
ttft_from_intended,90,43519
ttft_from_intended,95,44415
ttft_from_intended,99,46079
ttft_from_intended,99.9,59711
ttft_from_intended,99.99,67007
ttft_from_dispatch,50,11439
ttft_from_dispatch,75,40735
ttft_from_dispatch,90,41855
ttft_from_dispatch,95,42303
ttft_from_dispatch,99,43391
ttft_from_dispatch,99.9,58367
ttft_from_dispatch,99.99,64191
e2e_from_intended,50,23711
e2e_from_intended,75,51807
e2e_from_intended,90,53503
e2e_from_intended,95,54559
e2e_from_intended,99,56671
e2e_from_intended,99.9,77695
e2e_from_intended,99.99,86335
e2e_from_dispatch,50,21679
e2e_from_dispatch,75,50335
e2e_from_dispatch,90,51871
e2e_from_dispatch,95,52511
e2e_from_dispatch,99,53695
e2e_from_dispatch,99.9,74943
e2e_from_dispatch,99.99,83391
dispatch_lag,50,1448
dispatch_lag,75,2063
dispatch_lag,90,2887
dispatch_lag,95,3255
dispatch_lag,99,3849
dispatch_lag,99.9,9199
dispatch_lag,99.99,12759
