metric,percentile,value_us
ttft_from_intended,50,13519
ttft_from_intended,75,42047
ttft_from_intended,90,43775
ttft_from_intended,95,44511
ttft_from_intended,99,46175
ttft_from_intended,99.9,54303
ttft_from_intended,99.99,56191
ttft_from_dispatch,50,11319
ttft_from_dispatch,75,40575
ttft_from_dispatch,90,41855
ttft_from_dispatch,95,42463
ttft_from_dispatch,99,43615
ttft_from_dispatch,99.9,48895
ttft_from_dispatch,99.99,52671
e2e_from_intended,50,23487
e2e_from_intended,75,51711
e2e_from_intended,90,53599
e2e_from_intended,95,54559
e2e_from_intended,99,56255
e2e_from_intended,99.9,62495
e2e_from_intended,99.99,66559
e2e_from_dispatch,50,21551
e2e_from_dispatch,75,50207
e2e_from_dispatch,90,51839
e2e_from_dispatch,95,52575
e2e_from_dispatch,99,53919
e2e_from_dispatch,99.9,57695
e2e_from_dispatch,99.99,63007
dispatch_lag,50,1454
dispatch_lag,75,2107
dispatch_lag,90,3031
dispatch_lag,95,3299
dispatch_lag,99,3719
dispatch_lag,99.9,7999
dispatch_lag,99.99,9383
