metric,percentile,value_us
ttft_from_intended,50,12735
ttft_from_intended,75,13887
ttft_from_intended,90,15191
ttft_from_intended,95,15855
ttft_from_intended,99,17215
ttft_from_intended,99.9,19215
ttft_from_intended,99.99,20607
ttft_from_dispatch,50,11295
ttft_from_dispatch,75,12071
ttft_from_dispatch,90,12863
ttft_from_dispatch,95,13327
ttft_from_dispatch,99,14495
ttft_from_dispatch,99.9,16591
ttft_from_dispatch,99.99,17695
e2e_from_intended,50,22479
e2e_from_intended,75,23775
e2e_from_intended,90,24991
e2e_from_intended,95,25983
e2e_from_intended,99,27487
e2e_from_intended,99.9,31583
e2e_from_intended,99.99,36255
e2e_from_dispatch,50,20911
e2e_from_dispatch,75,21999
e2e_from_dispatch,90,22863
e2e_from_dispatch,95,23551
e2e_from_dispatch,99,24959
e2e_from_dispatch,99.9,28671
e2e_from_dispatch,99.99,35423
dispatch_lag,50,1444
dispatch_lag,75,2085
dispatch_lag,90,2869
dispatch_lag,95,3183
dispatch_lag,99,3707
dispatch_lag,99.9,4033
dispatch_lag,99.99,4755
