metric,percentile,value_us
ttft_from_intended,50,12535
ttft_from_intended,75,13775
ttft_from_intended,90,15023
ttft_from_intended,95,15743
ttft_from_intended,99,16767
ttft_from_intended,99.9,28015
ttft_from_intended,99.99,46943
ttft_from_dispatch,50,11095
ttft_from_dispatch,75,11919
ttft_from_dispatch,90,12615
ttft_from_dispatch,95,13111
ttft_from_dispatch,99,14199
ttft_from_dispatch,99.9,26735
ttft_from_dispatch,99.99,44287
e2e_from_intended,50,22303
e2e_from_intended,75,23647
e2e_from_intended,90,24927
e2e_from_intended,95,25727
e2e_from_intended,99,26847
e2e_from_intended,99.9,37215
e2e_from_intended,99.99,56447
e2e_from_dispatch,50,20831
e2e_from_dispatch,75,21791
e2e_from_dispatch,90,22687
e2e_from_dispatch,95,23247
e2e_from_dispatch,99,24239
e2e_from_dispatch,99.9,35935
e2e_from_dispatch,99.99,53791
dispatch_lag,50,1421
dispatch_lag,75,2093
dispatch_lag,90,2851
dispatch_lag,95,3221
dispatch_lag,99,3679
dispatch_lag,99.9,4139
dispatch_lag,99.99,5179
