metric,percentile,value_us
ttft_from_intended,50,12223
ttft_from_intended,75,41375
ttft_from_intended,90,42463
ttft_from_intended,95,43103
ttft_from_intended,99,45215
ttft_from_intended,99.9,73407
ttft_from_intended,99.99,75711
ttft_from_dispatch,50,10407
ttft_from_dispatch,75,40127
ttft_from_dispatch,90,40927
ttft_from_dispatch,95,41375
ttft_from_dispatch,99,42655
ttft_from_dispatch,99.9,51007
ttft_from_dispatch,99.99,72447
e2e_from_intended,50,21631
e2e_from_intended,75,50367
e2e_from_intended,90,51711
e2e_from_intended,95,52447
e2e_from_intended,99,58047
e2e_from_intended,99.9,82431
e2e_from_intended,99.99,84863
e2e_from_dispatch,50,19983
e2e_from_dispatch,75,49023
e2e_from_dispatch,90,50175
e2e_from_dispatch,95,50847
e2e_from_dispatch,99,53439
e2e_from_dispatch,99.9,75263
e2e_from_dispatch,99.99,81535
dispatch_lag,50,1313
dispatch_lag,75,1737
dispatch_lag,90,2163
dispatch_lag,95,2441
dispatch_lag,99,3245
dispatch_lag,99.9,28143
dispatch_lag,99.99,32607
