metric,percentile,value_us
ttft_from_intended,50,11823
ttft_from_intended,75,32351
ttft_from_intended,90,53727
ttft_from_intended,95,73087
ttft_from_intended,99,126719
ttft_from_intended,99.9,238335
ttft_from_intended,99.99,249087
ttft_from_dispatch,50,10407
ttft_from_dispatch,75,28863
ttft_from_dispatch,90,50783
ttft_from_dispatch,95,70015
ttft_from_dispatch,99,115903
ttft_from_dispatch,99.9,188927
ttft_from_dispatch,99.99,237311
e2e_from_intended,50,90239
e2e_from_intended,75,114111
e2e_from_intended,90,137087
e2e_from_intended,95,155647
e2e_from_intended,99,208255
e2e_from_intended,99.9,315647
e2e_from_intended,99.99,329471
e2e_from_dispatch,50,88831
e2e_from_dispatch,75,112447
e2e_from_dispatch,90,134655
e2e_from_dispatch,95,152703
e2e_from_dispatch,99,201215
e2e_from_dispatch,99.9,280063
e2e_from_dispatch,99.99,314623
dispatch_lag,50,1245
dispatch_lag,75,1630
dispatch_lag,90,2026
dispatch_lag,95,2509
dispatch_lag,99,15567
dispatch_lag,99.9,102847
dispatch_lag,99.99,122687
