metric,percentile,value_us
ttft_from_intended,50,11479
ttft_from_intended,75,13415
ttft_from_intended,90,41759
ttft_from_intended,95,44639
ttft_from_intended,99,74431
ttft_from_intended,99.9,114367
ttft_from_intended,99.99,122815
ttft_from_dispatch,50,10159
ttft_from_dispatch,75,11751
ttft_from_dispatch,90,40575
ttft_from_dispatch,95,42559
ttft_from_dispatch,99,73023
ttft_from_dispatch,99.9,114047
ttft_from_dispatch,99.99,121471
e2e_from_intended,50,89151
e2e_from_intended,75,93695
e2e_from_intended,90,119295
e2e_from_intended,95,124159
e2e_from_intended,99,155391
e2e_from_intended,99.9,216063
e2e_from_intended,99.99,219519
e2e_from_dispatch,50,87871
e2e_from_dispatch,75,92159
e2e_from_dispatch,90,117823
e2e_from_dispatch,95,122623
e2e_from_dispatch,99,153343
e2e_from_dispatch,99.9,213631
e2e_from_dispatch,99.99,218239
dispatch_lag,50,1247
dispatch_lag,75,1620
dispatch_lag,90,1993
dispatch_lag,95,2331
dispatch_lag,99,5055
dispatch_lag,99.9,35455
dispatch_lag,99.99,57439
