metric,percentile,value_us
ttft_from_intended,50,13327
ttft_from_intended,75,16055
ttft_from_intended,90,52159
ttft_from_intended,95,72767
ttft_from_intended,99,131071
ttft_from_intended,99.9,201215
ttft_from_intended,99.99,253311
ttft_from_dispatch,50,11983
ttft_from_dispatch,75,14767
ttft_from_dispatch,90,51103
ttft_from_dispatch,95,72063
ttft_from_dispatch,99,129919
ttft_from_dispatch,99.9,199295
ttft_from_dispatch,99.99,252159
e2e_from_intended,50,90879
e2e_from_intended,75,94847
e2e_from_intended,90,128639
e2e_from_intended,95,151167
e2e_from_intended,99,210559
e2e_from_intended,99.9,280319
e2e_from_intended,99.99,334079
e2e_from_dispatch,50,89599
e2e_from_dispatch,75,93183
e2e_from_dispatch,90,127423
e2e_from_dispatch,95,149631
e2e_from_dispatch,99,209151
e2e_from_dispatch,99.9,278271
e2e_from_dispatch,99.99,333055
dispatch_lag,50,1200
dispatch_lag,75,1579
dispatch_lag,90,1904
dispatch_lag,95,2121
dispatch_lag,99,3859
dispatch_lag,99.9,18175
dispatch_lag,99.99,29151
