metric,percentile,value_us
ttft_from_intended,50,484607
ttft_from_intended,75,620543
ttft_from_intended,90,722431
ttft_from_intended,95,759807
ttft_from_intended,99,834559
ttft_from_intended,99.9,902143
ttft_from_intended,99.99,912895
ttft_from_dispatch,50,482815
ttft_from_dispatch,75,619007
ttft_from_dispatch,90,720895
ttft_from_dispatch,95,757759
ttft_from_dispatch,99,833535
ttft_from_dispatch,99.9,900607
ttft_from_dispatch,99.99,910847
e2e_from_intended,50,561151
e2e_from_intended,75,697855
e2e_from_intended,90,800255
e2e_from_intended,95,837631
e2e_from_intended,99,917503
e2e_from_intended,99.9,979967
e2e_from_intended,99.99,990207
e2e_from_dispatch,50,559615
e2e_from_dispatch,75,695807
e2e_from_dispatch,90,799231
e2e_from_dispatch,95,836607
e2e_from_dispatch,99,915967
e2e_from_dispatch,99.9,978431
e2e_from_dispatch,99.99,988671
dispatch_lag,50,1304
dispatch_lag,75,1719
dispatch_lag,90,2051
dispatch_lag,95,2309
dispatch_lag,99,3551
dispatch_lag,99.9,8295
dispatch_lag,99.99,9271
