metric,percentile,value_us
ttft_from_intended,50,11343
ttft_from_intended,75,12359
ttft_from_intended,90,40607
ttft_from_intended,95,41855
ttft_from_intended,99,43199
ttft_from_intended,99.9,45887
ttft_from_intended,99.99,46239
ttft_from_dispatch,50,10055
ttft_from_dispatch,75,10823
ttft_from_dispatch,90,39487
ttft_from_dispatch,95,40639
ttft_from_dispatch,99,41823
ttft_from_dispatch,99.9,44095
ttft_from_dispatch,99.99,45663
e2e_from_intended,50,88767
e2e_from_intended,75,90879
e2e_from_intended,90,115711
e2e_from_intended,95,118911
e2e_from_intended,99,122239
e2e_from_intended,99.9,125055
e2e_from_intended,99.99,127487
e2e_from_dispatch,50,87423
e2e_from_dispatch,75,89599
e2e_from_dispatch,90,114687
e2e_from_dispatch,95,117823
e2e_from_dispatch,99,120767
e2e_from_dispatch,99.9,123903
e2e_from_dispatch,99.99,125695
dispatch_lag,50,1243
dispatch_lag,75,1639
dispatch_lag,90,1984
dispatch_lag,95,2225
dispatch_lag,99,4663
dispatch_lag,99.9,95807
dispatch_lag,99.99,99455
